
<<START>>,<<FMS_TRADER_CN_MST>>, 	(04-APR-2025 15:17:35)
<<END>>,<<FMS_CARGO_SVC_CONT_MST>>, 	(04-APR-2025 15:17:48)
 
<<START>>,<<FMS_CARGO_SVC_CONT_SVC_BU>>, 	(04-APR-2025 15:17:48)
 
CD,CONT_NO,CONT_TYPE,PLANT_SEQ_NO,TIMESTAMP
2,325001,Y, 1 , 	(04-APR-2025 15:17:48)
2,325002,Y, 1 , 	(04-APR-2025 15:17:48)
2,325003,Y, 1 , 	(04-APR-2025 15:17:48)
2,325003,H, 1 , 	(04-APR-2025 15:17:48)
2,325003,H, 1 , 	(04-APR-2025 15:17:48)
2,325003,H, 1 , 	(04-APR-2025 15:17:48)
2,325003,H, 1 , 	(04-APR-2025 15:17:48)

TOTAL DATA EXTRACTED :,7,  	(04-APR-2025 15:17:48)
 
<<END>>,<<FMS_CARGO_SVC_CONT_SVC_BU>>, 	(04-APR-2025 15:17:48)
 
