
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(03-JUN-2025 11:32:58)
 
 COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX ,  CONT_TYPE,TIMESTAMP
33,7,1,K,S, 	(03-JUN-2025 11:33:00)
33,8,1,K,S, 	(03-JUN-2025 11:33:00)
33,9,1,K,S, 	(03-JUN-2025 11:33:00)
33,10,1,K,S, 	(03-JUN-2025 11:33:00)
33,11,1,K,S, 	(03-JUN-2025 11:33:00)
33,12,1,K,S, 	(03-JUN-2025 11:33:00)
33,13,1,K,S, 	(03-JUN-2025 11:33:00)
33,14,1,K,S, 	(03-JUN-2025 11:33:00)
33,15,1,K,S, 	(03-JUN-2025 11:33:00)
33,16,1,K,S, 	(03-JUN-2025 11:33:00)
33,17,1,K,S, 	(03-JUN-2025 11:33:00)
33,18,1,K,S, 	(03-JUN-2025 11:33:00)
33,19,1,K,S, 	(03-JUN-2025 11:33:00)
33,20,1,K,S, 	(03-JUN-2025 11:33:00)
33,21,1,K,S, 	(03-JUN-2025 11:33:00)
33,22,1,K,S, 	(03-JUN-2025 11:33:00)
33,23,1,K,S, 	(03-JUN-2025 11:33:00)
33,24,1,0,K,L, 	(03-JUN-2025 11:33:00)
33,25,1,0,K,L, 	(03-JUN-2025 11:33:00)
33,26,1,0,K,L, 	(03-JUN-2025 11:33:00)
33,27,1,0,K,L, 	(03-JUN-2025 11:33:00)
33,28,1,0,K,L, 	(03-JUN-2025 11:33:00)
33,29,1,0,K,L, 	(03-JUN-2025 11:33:00)
33,30,1,0,K,L, 	(03-JUN-2025 11:33:00)
34,1,1,K,S, 	(03-JUN-2025 11:33:00)
34,2,1,K,S, 	(03-JUN-2025 11:33:00)
34,3,1,K,S, 	(03-JUN-2025 11:33:00)
34,4,1,K,S, 	(03-JUN-2025 11:33:00)
34,5,1,K,S, 	(03-JUN-2025 11:33:00)
34,6,1,K,S, 	(03-JUN-2025 11:33:00)
34,7,1,K,S, 	(03-JUN-2025 11:33:00)
34,8,1,K,S, 	(03-JUN-2025 11:33:00)
34,9,1,K,S, 	(03-JUN-2025 11:33:00)
34,10,1,K,S, 	(03-JUN-2025 11:33:00)
34,11,1,K,S, 	(03-JUN-2025 11:33:00)
34,12,1,K,S, 	(03-JUN-2025 11:33:00)
34,13,1,K,S, 	(03-JUN-2025 11:33:00)
34,14,1,K,S, 	(03-JUN-2025 11:33:00)
34,15,1,K,S, 	(03-JUN-2025 11:33:00)
34,16,1,0,K,L, 	(03-JUN-2025 11:33:00)
34,17,1,0,K,L, 	(03-JUN-2025 11:33:00)
35,1,1,K,S, 	(03-JUN-2025 11:33:00)
35,2,1,K,S, 	(03-JUN-2025 11:33:00)
37,1,1,K,S, 	(03-JUN-2025 11:33:00)
37,2,1,K,S, 	(03-JUN-2025 11:33:00)
37,3,1,K,S, 	(03-JUN-2025 11:33:00)
37,4,1,K,S, 	(03-JUN-2025 11:33:00)
37,5,1,K,S, 	(03-JUN-2025 11:33:00)
37,6,1,K,S, 	(03-JUN-2025 11:33:00)
37,7,1,K,S, 	(03-JUN-2025 11:33:00)
37,8,1,K,S, 	(03-JUN-2025 11:33:00)
37,9,1,K,S, 	(03-JUN-2025 11:33:00)
37,10,1,K,S, 	(03-JUN-2025 11:33:00)
37,11,1,K,S, 	(03-JUN-2025 11:33:00)
37,12,1,K,S, 	(03-JUN-2025 11:33:00)
37,13,1,K,S, 	(03-JUN-2025 11:33:00)
38,1,1,K,S, 	(03-JUN-2025 11:33:00)
38,2,1,K,S, 	(03-JUN-2025 11:33:00)
38,3,1,K,S, 	(03-JUN-2025 11:33:00)
38,4,1,K,S, 	(03-JUN-2025 11:33:00)
38,5,1,K,S, 	(03-JUN-2025 11:33:00)
38,6,1,K,S, 	(03-JUN-2025 11:33:00)
38,7,1,K,S, 	(03-JUN-2025 11:33:00)
38,8,1,K,S, 	(03-JUN-2025 11:33:00)
38,9,1,K,S, 	(03-JUN-2025 11:33:00)
38,10,1,K,S, 	(03-JUN-2025 11:33:00)
38,11,1,K,S, 	(03-JUN-2025 11:33:00)
38,12,1,K,S, 	(03-JUN-2025 11:33:00)
38,13,1,K,S, 	(03-JUN-2025 11:33:00)
38,14,1,K,S, 	(03-JUN-2025 11:33:00)
38,15,1,K,S, 	(03-JUN-2025 11:33:00)
38,16,1,K,S, 	(03-JUN-2025 11:33:00)
38,17,1,K,S, 	(03-JUN-2025 11:33:00)
38,18,1,K,S, 	(03-JUN-2025 11:33:00)
39,1,1,K,S, 	(03-JUN-2025 11:33:00)
39,2,1,K,S, 	(03-JUN-2025 11:33:00)
39,3,1,K,S, 	(03-JUN-2025 11:33:00)
39,4,1,K,S, 	(03-JUN-2025 11:33:00)
39,5,1,K,S, 	(03-JUN-2025 11:33:00)
39,6,1,K,S, 	(03-JUN-2025 11:33:00)
39,7,1,K,S, 	(03-JUN-2025 11:33:00)
39,8,1,K,S, 	(03-JUN-2025 11:33:00)
39,9,1,K,S, 	(03-JUN-2025 11:33:00)
39,10,1,K,S, 	(03-JUN-2025 11:33:00)
39,11,1,K,S, 	(03-JUN-2025 11:33:00)
39,12,1,K,S, 	(03-JUN-2025 11:33:00)
39,13,1,K,S, 	(03-JUN-2025 11:33:00)
39,14,1,K,S, 	(03-JUN-2025 11:33:00)
39,15,1,K,S, 	(03-JUN-2025 11:33:00)
39,16,1,K,S, 	(03-JUN-2025 11:33:00)
39,17,1,K,S, 	(03-JUN-2025 11:33:00)
39,18,1,K,S, 	(03-JUN-2025 11:33:00)
39,19,1,K,S, 	(03-JUN-2025 11:33:00)
39,20,1,K,S, 	(03-JUN-2025 11:33:00)
39,1,1,K,L, 	(03-JUN-2025 11:33:00)
39,2,1,K,L, 	(03-JUN-2025 11:33:00)
39,3,1,K,L, 	(03-JUN-2025 11:33:00)
39,4,1,K,L, 	(03-JUN-2025 11:33:00)
39,5,1,K,L, 	(03-JUN-2025 11:33:00)
39,6,1,K,L, 	(03-JUN-2025 11:33:00)
39,7,1,K,L, 	(03-JUN-2025 11:33:00)
39,8,1,K,L, 	(03-JUN-2025 11:33:00)
39,9,1,K,L, 	(03-JUN-2025 11:33:00)
39,10,1,K,L, 	(03-JUN-2025 11:33:00)
39,11,1,K,L, 	(03-JUN-2025 11:33:00)
39,1,1,K,L, 	(03-JUN-2025 11:33:00)
39,2,1,K,L, 	(03-JUN-2025 11:33:00)
39,3,1,K,L, 	(03-JUN-2025 11:33:00)
39,4,1,K,L, 	(03-JUN-2025 11:33:00)
39,5,1,K,L, 	(03-JUN-2025 11:33:00)
39,6,1,K,L, 	(03-JUN-2025 11:33:00)
39,7,1,K,L, 	(03-JUN-2025 11:33:00)
39,8,1,K,L, 	(03-JUN-2025 11:33:00)
39,9,1,K,L, 	(03-JUN-2025 11:33:00)
39,10,1,K,L, 	(03-JUN-2025 11:33:00)
39,11,1,K,L, 	(03-JUN-2025 11:33:00)
39,12,1,K,L, 	(03-JUN-2025 11:33:00)
39,13,1,K,L, 	(03-JUN-2025 11:33:00)
42,1,1,K,S, 	(03-JUN-2025 11:33:00)
42,2,1,K,S, 	(03-JUN-2025 11:33:00)
42,3,1,K,S, 	(03-JUN-2025 11:33:00)
42,4,1,K,S, 	(03-JUN-2025 11:33:00)
42,1,1,K,L, 	(03-JUN-2025 11:33:00)
42,2,1,K,L, 	(03-JUN-2025 11:33:00)
42,3,1,K,L, 	(03-JUN-2025 11:33:00)
42,4,1,K,L, 	(03-JUN-2025 11:33:00)
42,5,1,K,L, 	(03-JUN-2025 11:33:00)
45,1,1,K,S, 	(03-JUN-2025 11:33:00)
45,2,1,K,S, 	(03-JUN-2025 11:33:00)
45,3,1,K,S, 	(03-JUN-2025 11:33:00)
45,4,1,K,S, 	(03-JUN-2025 11:33:00)
45,5,1,K,S, 	(03-JUN-2025 11:33:00)
45,6,1,K,S, 	(03-JUN-2025 11:33:00)
45,7,1,K,S, 	(03-JUN-2025 11:33:00)
