
<<START>>,<<FMS_ENTITY_TURNOVER_DTL>>,,, 	(21-FEB-2025 10:05:59)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,FINANCIAL_YEAR,TIMESTAMP
SGI-AP,121,C,2022-2023, 	(21-FEB-2025 10:06:00)
SGI-AP,121,C,2023-2024, 	(21-FEB-2025 10:06:00)
PEPL,127,C,2021-2022, 	(21-FEB-2025 10:06:00)
PEPL,127,C,2022-2023, 	(21-FEB-2025 10:06:00)
PEPL,127,C,2023-2024, 	(21-FEB-2025 10:06:00)
GFCL,128,C,2021-2022, 	(21-FEB-2025 10:06:00)
GFCL,128,C,2022-2023, 	(21-FEB-2025 10:06:00)
CPL,130,C,2021-2022, 	(21-FEB-2025 10:06:00)
CPL,130,C,2022-2023, 	(21-FEB-2025 10:06:00)
CPL,130,C,2023-2024, 	(21-FEB-2025 10:06:00)
IRM,131,C,2021-2022, 	(21-FEB-2025 10:06:00)
PPL,132,C,2021-2022, 	(21-FEB-2025 10:06:00)
PPL,132,C,2023-2024, 	(21-FEB-2025 10:06:00)
YARALTD,133,C,2021-2022, 	(21-FEB-2025 10:06:00)
INPEROX,134,C,2021-2022, 	(21-FEB-2025 10:06:00)
INPEROX,134,C,2022-2023, 	(21-FEB-2025 10:06:00)
RAFECHL,135,C,2023-2024, 	(21-FEB-2025 10:06:00)
MGRPL,136,C,2021-2022, 	(21-FEB-2025 10:06:00)
MGRPL,136,C,2022-2023, 	(21-FEB-2025 10:06:00)
CNTENKA,137,C,2021-2022, 	(21-FEB-2025 10:06:00)
EFSPL,138,C,2023-2024, 	(21-FEB-2025 10:06:00)
HINDURV,140,C,2021-2022, 	(21-FEB-2025 10:06:00)
HINDURV,140,C,2022-2023, 	(21-FEB-2025 10:06:00)
HCGPUTE,142,C,2021-2022, 	(21-FEB-2025 10:06:00)
GOAGLSF,143,C,2021-2022, 	(21-FEB-2025 10:06:00)
GOAGLSF,143,C,2022-2023, 	(21-FEB-2025 10:06:00)
GOAGLSF,143,C,2023-2024, 	(21-FEB-2025 10:06:00)
IGSPL,144,C,2021-2022, 	(21-FEB-2025 10:06:00)
IGSPL,144,C,2022-2023, 	(21-FEB-2025 10:06:00)
PEFORCV,146,C,2021-2022, 	(21-FEB-2025 10:06:00)
PEFORCV,146,C,2022-2023, 	(21-FEB-2025 10:06:00)
BHEL,155,C,2023-2024, 	(21-FEB-2025 10:06:00)
COMFIND,159,C,2022-2023, 	(21-FEB-2025 10:06:00)
COMFIND,159,C,2023-2024, 	(21-FEB-2025 10:06:00)
DCMSHRI,160,C,2022-2023, 	(21-FEB-2025 10:06:00)
DCMSHRI,160,C,2023-2024, 	(21-FEB-2025 10:06:00)
HINAGIL,184,C,2023-2024, 	(21-FEB-2025 10:06:00)
HPOIGAS,188,C,2022-2023, 	(21-FEB-2025 10:06:00)
NEL,209,C,2021-2022, 	(21-FEB-2025 10:06:00)
NEL,209,C,2022-2023, 	(21-FEB-2025 10:06:00)
TASTELI,238,C,2021-2022, 	(21-FEB-2025 10:06:00)
TASTELI,238,C,2022-2023, 	(21-FEB-2025 10:06:00)
TASTELI,238,C,2023-2024, 	(21-FEB-2025 10:06:00)
HMEL,239,C,2021-2022, 	(21-FEB-2025 10:06:00)
HMEL,239,C,2022-2023, 	(21-FEB-2025 10:06:00)
HMEL,239,C,2023-2024, 	(21-FEB-2025 10:06:00)
BOROREN,241,C,2022-2023, 	(21-FEB-2025 10:06:00)
BOROREN,241,C,2023-2024, 	(21-FEB-2025 10:06:00)
KINGASP,242,C,2022-2023, 	(21-FEB-2025 10:06:00)
KINGASP,242,C,2023-2024, 	(21-FEB-2025 10:06:00)
RATNAGI,245,C,2022-2023, 	(21-FEB-2025 10:06:00)
IDOINVA,247,C,2022-2023, 	(21-FEB-2025 10:06:00)
IDOINVA,248,C,2022-2023, 	(21-FEB-2025 10:06:00)
AGPCGIN,250,C,2021-2022, 	(21-FEB-2025 10:06:00)
AGPCGIN,250,C,2022-2023, 	(21-FEB-2025 10:06:00)
AGPCGIN,250,C,2023-2024, 	(21-FEB-2025 10:06:00)
NESTLIN,251,C,2023-2024, 	(21-FEB-2025 10:06:00)
VISHPRI,253,C,2021-2022, 	(21-FEB-2025 10:06:00)
VISHPRI,253,C,2022-2023, 	(21-FEB-2025 10:06:00)
VISHPRI,253,C,2023-2024, 	(21-FEB-2025 10:06:00)
SOMANY,255,C,2021-2022, 	(21-FEB-2025 10:06:00)
SOMANY,255,C,2022-2023, 	(21-FEB-2025 10:06:00)
BHOGATD,256,C,2022-2023, 	(21-FEB-2025 10:06:00)
BHOGATD,256,C,2023-2024, 	(21-FEB-2025 10:06:00)
VIGASLD,258,C,2022-2023, 	(21-FEB-2025 10:06:00)
VIGASLD,258,C,2023-2024, 	(21-FEB-2025 10:06:00)
GOLDPFG,259,C,2022-2023, 	(21-FEB-2025 10:06:00)
GAILGAS,265,C,2022-2023, 	(21-FEB-2025 10:06:00)
GAILGAS,265,C,2023-2024, 	(21-FEB-2025 10:06:00)
KUTCHCL,267,C,2022-2023, 	(21-FEB-2025 10:06:00)
KUTCHCL,267,C,2023-2024, 	(21-FEB-2025 10:06:00)
SANENER,273,C,2022-2023, 	(21-FEB-2025 10:06:00)
SUMGLAS,274,C,2022-2023, 	(21-FEB-2025 10:06:00)
SVTPLIN,275,C,2022-2023, 	(21-FEB-2025 10:06:00)
SVTPLIN,275,C,2023-2024, 	(21-FEB-2025 10:06:00)
AVGL,282,C,2022-2023, 	(21-FEB-2025 10:06:00)
AVGL,282,C,2023-2024, 	(21-FEB-2025 10:06:00)
NGPL,284,C,2022-2023, 	(21-FEB-2025 10:06:00)
ROCKIND,287,C,2022-2023, 	(21-FEB-2025 10:06:00)
LANCOKO,290,C,2023-2024, 	(21-FEB-2025 10:06:00)
CRMNDEL,291,C,2023-2024, 	(21-FEB-2025 10:06:00)

TOTAL DATA EXTRACTED :,245,,,  	(21-FEB-2025 10:06:00)
 
<<END>>,<<FMS_ENTITY_TURNOVER_DTL>>,,, 	(21-FEB-2025 10:06:00)
 
