
<<START>>,<<FMS_DLNG_FFLOW_INV_MST>>,,,, 	(28-JAN-2026 09:58:39)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,TIMESTAMP,
2,24,53,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,53,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,54,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,54,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,54,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,55,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,55,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,55,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,56,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,56,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,56,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,57,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,57,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,57,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,58,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,58,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,58,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,59,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,59,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,59,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,60,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,60,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,60,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,61,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,61,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,61,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,62,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,62,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,62,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,63,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,63,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,63,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,64,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,64,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,64,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,65,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,65,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,65,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,66,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,66,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,66,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,67,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,67,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,67,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,68,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,68,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,68,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,69,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,69,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,69,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,70,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,70,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,70,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,71,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,71,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,71,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,72,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,72,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,72,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,73,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,73,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,73,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,74,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,74,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,74,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,75,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
