
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 10:29:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
KFL , 47 , B , C , 23/07/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
KFL , 47 , C , C , 23/07/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
BIL , 48 , C , C , 25/06/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
BIL , 48 , R , C , 25/06/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
BIL , 48 , B , C , 25/06/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
RIPL , 49 , R , C , 19/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
RIPL , 49 , B , C , 19/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
RIPL , 49 , C , C , 19/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
CP , 50 , C , C , 15/10/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
CP , 50 , R , C , 15/10/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
CP , 50 , B , C , 15/10/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HHFG DLNG , 51 , B , C , 26/10/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HHFG DLNG , 51 , C , C , 26/10/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HHFG DLNG , 51 , R , C , 26/10/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
VIDUWIL , 52 , C , C , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
VIDUWIL , 52 , R , C , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
VIDUWIL , 52 , B , C , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
AGP CGD , 53 , C , C , 25/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
AGP CGD , 53 , R , C , 25/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
AGP CGD , 53 , B , C , 25/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
MINDA , 54 , C , C , 29/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
MINDA , 54 , R , C , 29/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
MINDA , 54 , B , C , 29/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
LEIPL , 55 , R , C , 04/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
LEIPL , 55 , B , C , 04/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
LEIPL , 55 , C , C , 04/11/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
SCHOTT , 56 , C , C , 24/02/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
SCHOTT , 56 , R , C , 24/02/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
SCHOTT , 56 , B , C , 24/02/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HIL , 57 , C , C , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
HIL , 57 , R , C , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
HIL , 57 , B , C , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
HCGD-B , 58 , B , C , 01/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
HCGD-B , 58 , R , C , 01/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
HCGD-B , 58 , C , C , 01/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
BIPL , 59 , C , C , 21/07/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
BIPL , 59 , R , C , 21/07/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
BIPL , 59 , B , C , 21/07/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
EXXARO , 60 , R , C , 23/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
EXXARO , 60 , B , C , 23/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
