
<<START>>,<<FMS_SUPPLY_CONT_PLANT(DLNG)>>,,,, 	(12-JUN-2025 12:13:13)
 
COUNTERPARTY_ABBR,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,TIMESTAMP,
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
KAJARIA,1,0,1, 	(12-JUN-2025 12:13:14)
KAJARIA,1,0,1, 	(12-JUN-2025 12:13:14)
KAJARIA,1,0,1, 	(12-JUN-2025 12:13:14)
KAJARIA,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
JKPAPER,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
STL,1,0,1, 	(12-JUN-2025 12:13:14)
