
<<START>>,<<FMS_INV_STORAGE_CRG_DTL>>,,,, 	(23-JUL-2025 14:58:59)
 
COUNTERPARTY_ABBR,INVOICE_SEQ,FINANCIAL_YEAR,STORAGE_DT,RATE_TYPE,TIMESTAMP,
,88,2022-2023,28/08/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,88,2022-2023,27/08/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,88,2022-2023,26/08/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,09/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,08/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,07/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,06/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,05/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,04/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,03/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,02/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,01/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,31/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,30/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,29/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,15/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,14/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,13/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,12/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,11/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,10/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,09/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,08/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,07/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,06/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,05/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,04/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,03/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,02/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,01/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,31/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,30/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,29/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,15/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,14/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,13/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,12/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,11/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,145,2022-2023,10/11/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2022-2023,15/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2022-2023,14/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2022-2023,13/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2022-2023,15/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2022-2023,14/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2022-2023,13/10/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,95,2023-2024,18/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,95,2023-2024,17/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,95,2023-2024,16/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,95,2023-2024,15/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,95,2023-2024,14/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,95,2023-2024,13/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,95,2023-2024,12/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,26/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,25/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,24/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,23/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,22/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,21/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,20/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,98,2023-2024,19/01/2024 00:00:00,C, 	(23-JUL-2025 14:59:00)
,233,2021-2022,06/03/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,233,2021-2022,05/03/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,233,2021-2022,04/03/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,233,2021-2022,03/03/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,181,2022-2023,15/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,181,2022-2023,14/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,181,2022-2023,13/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,181,2022-2023,12/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,181,2022-2023,11/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,81,2022-2023,15/08/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,81,2022-2023,14/08/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,81,2022-2023,13/08/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,81,2022-2023,12/08/2022 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,30/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,29/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,28/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,27/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,26/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,25/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,24/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,23/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,22/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,21/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,20/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,19/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,18/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,17/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,27,2023-2024,16/06/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,12/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,11/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,10/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,09/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,08/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,07/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,06/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,05/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,04/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,03/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,02/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,01/04/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,31/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,30/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
,1,2023-2024,29/03/2023 00:00:00,C, 	(23-JUL-2025 14:59:00)
