
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(02-MAY-2025 12:37:26)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
11015,null,0,18/10/2013 00:00:00,The excel calculation is matched with the PD Bond value, 	(02-MAY-2025 12:37:28)
11016,null,0,02/12/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11011,null,0,22/04/2013 00:00:00,Values matched with excel calculation., 	(02-MAY-2025 12:37:28)
11012,null,0,03/06/2013 00:00:00,Roundedup value for refund is Rs. 594,667, Differential CD is [-0.47], 	(02-MAY-2025 12:37:28)
11013,null,0,05/07/2013 00:00:00,Roundedup value for refund is Rs. 951064, Differential CD is [-0.96], 	(02-MAY-2025 12:37:28)
11014,null,0,11/09/2013 00:00:00,Roundedup value for refund is Rs. 219931, Differential CD is [0.64], 	(02-MAY-2025 12:37:28)
11015,null,0,18/10/2013 00:00:00,Rounded up to match the excel value., 	(02-MAY-2025 12:37:28)
11016,null,0,02/12/2013 00:00:00,Roundedup to match with excel value, 	(02-MAY-2025 12:37:28)
11006,null,0,20/06/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11006,null,0,20/06/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11006,null,0,29/06/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11006,null,0,20/06/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11006,null,0,29/06/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11008,null,0,10/02/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11008,null,0,10/02/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11009,null,0,25/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12, 	(02-MAY-2025 12:37:28)
11009,null,0,25/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12, 	(02-MAY-2025 12:37:28)
11010,null,0,13/08/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11010,null,0,13/08/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11008,null,0,10/02/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11009,null,0,25/05/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11010,null,0,13/08/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11008,null,0,10/02/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
11009,null,0,25/05/2012 00:00:00,Due to the change in Custom EDI system additional cess Rs.63644.82 being paid in custom duty, 	(02-MAY-2025 12:37:28)
11010,null,0,13/08/2012 00:00:00,Rounded off & tallied with custom EDI system value, 	(02-MAY-2025 12:37:28)
11008,null,0,10/02/2012 00:00:00,Rounding of the actual value is Rs. 2585087.00 for which the cheque needs to be prepared., 	(02-MAY-2025 12:37:28)
11009,null,0,25/05/2012 00:00:00,The Differential CD is the additional amount paid as the provisional custom duty which is reflected as Differential CD in Provisional customs duty payment window too., 	(02-MAY-2025 12:37:28)
11010,null,0,13/08/2012 00:00:00,The Differential CD to be rounded off which will be the total refund value from the custom duty paid., 	(02-MAY-2025 12:37:28)
5001,null,0,14/04/2005 00:00:00,Actual data, 	(02-MAY-2025 12:37:28)
5001,null,0,14/04/2005 00:00:00,Actual data, 	(02-MAY-2025 12:37:28)
5001,null,0,14/06/2005 00:00:00,null, 	(02-MAY-2025 12:37:28)
5001,null,0,14/04/2005 00:00:00,null, 	(02-MAY-2025 12:37:28)
5001,null,0,14/06/2005 00:00:00,null, 	(02-MAY-2025 12:37:28)
5003,null,0,18/10/2005 00:00:00,Actual Data, 	(02-MAY-2025 12:37:28)
5003,null,0,18/10/2005 00:00:00,Actual Data, 	(02-MAY-2025 12:37:28)
5003,null,0,31/10/2005 00:00:00,null, 	(02-MAY-2025 12:37:28)
5003,null,0,18/10/2005 00:00:00,null, 	(02-MAY-2025 12:37:28)
5003,null,0,31/10/2005 00:00:00,null, 	(02-MAY-2025 12:37:28)
6001,null,0,03/05/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6001,null,0,03/05/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6001,null,0,null,null, 	(02-MAY-2025 12:37:28)
6001,null,0,03/05/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
7001,null,0,22/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7001,null,0,22/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7001,null,0,22/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7001,null,0,22/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7006,null,0,27/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7006,null,0,27/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7006,null,0,27/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7006,null,0,27/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6011,null,0,14/03/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6011,null,0,14/03/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6011,null,0,14/03/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6011,null,0,14/03/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6013,null,0,24/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6013,null,0,24/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6013,null,0,24/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6013,null,0,24/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6013,null,0,24/04/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6009,null,0,06/02/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6009,null,0,06/02/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6009,null,0,06/02/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6009,null,0,06/02/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6009,null,0,06/02/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6008,null,0,16/01/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6008,null,0,16/01/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6008,null,0,16/01/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6008,null,0,16/01/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7002,null,0,06/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7002,null,0,06/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7002,null,0,06/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7002,null,0,06/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
7002,null,0,06/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:28)
6007,null,0,03/01/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6007,null,0,03/01/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6007,null,0,03/01/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
6007,null,0,03/01/2006 00:00:00,null, 	(02-MAY-2025 12:37:28)
7003,null,0,24/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7003,null,0,24/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7003,null,0,24/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7003,null,0,24/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7003,null,0,24/05/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
6006,null,0,07/12/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6006,null,0,07/12/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6006,null,0,07/12/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6006,null,0,07/12/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6006,null,0,07/12/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6004,null,0,18/07/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6004,null,0,18/07/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6004,null,0,22/07/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
6004,null,0,18/07/2006 00:00:00,null, 	(02-MAY-2025 12:37:29)
7005,null,0,13/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7005,null,0,13/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7005,null,0,13/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7005,null,0,13/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
7005,null,0,13/06/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
6010,null,0,20/02/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
6010,null,0,20/02/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
6010,null,0,20/02/2007 00:00:00,null, 	(02-MAY-2025 12:37:29)
