
<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,, 	(03-MAR-2025 10:49:16)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
PGPGPL,37,C,4,30/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,04/10/2019 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,01/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,28/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,04/10/2019 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,01/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,28/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,3,28/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,4,30/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,04/10/2019 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,01/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,28/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,04/10/2019 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,01/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,28/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,3,28/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,4,30/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
HCG,38,C,1,02/12/2019 00:00:00, 	(03-MAR-2025 10:49:18)
GGL,39,C,1,09/12/2019 00:00:00, 	(03-MAR-2025 10:49:18)
CFC,40,C,1,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
CFC,40,C,2,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
CFC,40,C,3,01/01/2023 00:00:00, 	(03-MAR-2025 10:49:18)
IFFCO,41,C,1,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
IFFCO,41,C,2,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
IFFCO,41,C,3,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
HGL-RLNG,42,C,1,01/02/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,1,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,2,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,3,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,4,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,5,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,6,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,7,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,8,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,9,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,10,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,1,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,2,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,3,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,4,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,5,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,6,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,7,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,8,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,9,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,10,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
PipeInfra,43,C,11,01/01/2020 00:00:00, 	(03-MAR-2025 10:49:18)
NFL,44,C,1,01/05/2020 00:00:00, 	(03-MAR-2025 10:49:18)
NFL,44,C,2,01/09/2022 00:00:00, 	(03-MAR-2025 10:49:18)
NFL,44,C,3,13/03/2023 00:00:00, 	(03-MAR-2025 10:49:18)
HSIL,45,C,1,01/05/2020 00:00:00, 	(03-MAR-2025 10:49:18)
HSIL,45,C,1,01/05/2023 00:00:00, 	(03-MAR-2025 10:49:18)
HSIL,45,C,1,01/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
KFL,47,C,1,23/07/2020 00:00:00, 	(03-MAR-2025 10:49:18)
KFL,47,C,2,23/07/2020 00:00:00, 	(03-MAR-2025 10:49:18)
BIL,48,C,1,25/06/2020 00:00:00, 	(03-MAR-2025 10:49:18)
RIPL,49,C,1,19/11/2020 00:00:00, 	(03-MAR-2025 10:49:18)
CP,50,C,1,15/10/2020 00:00:00, 	(03-MAR-2025 10:49:18)
HHFG DLNG,51,C,1,26/10/2020 00:00:00, 	(03-MAR-2025 10:49:18)
VIDUWIL,52,C,1,01/01/2021 00:00:00, 	(03-MAR-2025 10:49:18)
AGP CGD,53,C,1,25/01/2021 00:00:00, 	(03-MAR-2025 10:49:18)
AGP CGD,53,C,2,01/02/2023 00:00:00, 	(03-MAR-2025 10:49:18)
MINDA,54,C,1,29/01/2021 00:00:00, 	(03-MAR-2025 10:49:18)
MINDA,54,C,2,28/07/2022 00:00:00, 	(03-MAR-2025 10:49:18)
LEIPL,55,C,1,04/11/2020 00:00:00, 	(03-MAR-2025 10:49:18)
SCHOTT,56,C,1,24/02/2020 00:00:00, 	(03-MAR-2025 10:49:18)
HIL,57,C,1,01/01/2021 00:00:00, 	(03-MAR-2025 10:49:18)
HIL,57,C,2,01/05/2021 00:00:00, 	(03-MAR-2025 10:49:18)
HIL,57,C,3,21/01/2022 00:00:00, 	(03-MAR-2025 10:49:18)
HIL,57,C,4,01/06/2023 00:00:00, 	(03-MAR-2025 10:49:18)
HCGD-B,58,C,1,01/04/2021 00:00:00, 	(03-MAR-2025 10:49:19)
BIPL,59,C,1,21/07/2020 00:00:00, 	(03-MAR-2025 10:49:19)
BIPL,59,C,2,24/09/2024 00:00:00, 	(03-MAR-2025 10:49:19)
EXXARO,60,C,1,23/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
EXXARO,60,C,1,23/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
STVPL,61,C,1,18/02/2021 00:00:00, 	(03-MAR-2025 10:49:19)
STVPL,61,C,1,18/02/2021 00:00:00, 	(03-MAR-2025 10:49:19)
JGPL,62,C,1,18/02/2021 00:00:00, 	(03-MAR-2025 10:49:19)
JGPL,62,C,1,18/02/2021 00:00:00, 	(03-MAR-2025 10:49:19)
WALLCERA,63,C,1,17/02/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ASTIS,64,C,1,17/02/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ASTIS,64,C,1,17/02/2021 00:00:00, 	(03-MAR-2025 10:49:19)
PROTON,65,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
PROTON,65,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
PROTON,65,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ANTIQUE,66,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ANTIQUE,66,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ANTIQUE,66,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ACER,67,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ACER,67,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ACER,67,C,1,16/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
KAJARIA,68,C,1,30/11/2020 00:00:00, 	(03-MAR-2025 10:49:19)
KAJARIA,68,C,2,01/02/2023 00:00:00, 	(03-MAR-2025 10:49:19)
GASGROWS,69,C,1,07/05/2020 00:00:00, 	(03-MAR-2025 10:49:19)
GASGROWS,69,C,1,07/05/2020 00:00:00, 	(03-MAR-2025 10:49:19)
SISECAM,70,C,1,09/06/2021 00:00:00, 	(03-MAR-2025 10:49:19)
ATPL,71,C,1,17/12/2020 00:00:00, 	(03-MAR-2025 10:49:19)
ATPL,71,C,2,05/04/2022 00:00:00, 	(03-MAR-2025 10:49:19)
OPAL,72,C,1,28/07/2021 00:00:00, 	(03-MAR-2025 10:49:19)
JKPAPER,73,C,1,02/08/2021 00:00:00, 	(03-MAR-2025 10:49:19)
STL,74,C,1,25/08/2021 00:00:00, 	(03-MAR-2025 10:49:19)
UEPL,75,C,1,03/09/2021 00:00:00, 	(03-MAR-2025 10:49:19)
UEPL,75,C,1,03/09/2021 00:00:00, 	(03-MAR-2025 10:49:19)
CELLO,76,C,1,01/12/2021 00:00:00, 	(03-MAR-2025 10:49:19)
CALDERYS,77,C,1,20/12/2021 00:00:00, 	(03-MAR-2025 10:49:19)
CALDERYS,77,C,1,20/12/2021 00:00:00, 	(03-MAR-2025 10:49:19)
RCF,78,C,1,30/12/2021 00:00:00, 	(03-MAR-2025 10:49:19)
RCF,78,C,2,06/09/2022 00:00:00, 	(03-MAR-2025 10:49:19)
BWRL,79,C,1,25/01/2022 00:00:00, 	(03-MAR-2025 10:49:19)
KRYO,80,C,1,31/01/2022 00:00:00, 	(03-MAR-2025 10:49:19)
KRYO,80,C,1,31/01/2022 00:00:00, 	(03-MAR-2025 10:49:19)
VIRGO,81,C,1,12/02/2022 00:00:00, 	(03-MAR-2025 10:49:19)
BLPL,82,C,1,02/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
GIPSKARTON,83,C,1,24/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
RIL-D6,90,T,1,01/01/2022 00:00:00, 	(03-MAR-2025 10:49:19)
RIL-D6,90,T,2,01/07/2024 00:00:00, 	(03-MAR-2025 10:49:19)
RIL-D6,90,T,3,01/10/2024 00:00:00, 	(03-MAR-2025 10:49:19)
BP,91,T,1,01/01/2022 00:00:00, 	(03-MAR-2025 10:49:19)
RIL-CBM,93,T,4,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
RIL-CBM,93,T,5,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
GSPL,97,T,5,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
GSPL,97,T,5,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
GSPL,97,T,5,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
GSPL,97,T,5,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
Gail,100,T,5,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
RGPL,106,T,5,25/03/2022 00:00:00, 	(03-MAR-2025 10:49:19)
TGLPL,110,C,1,29/04/2022 00:00:00, 	(03-MAR-2025 10:49:19)
TGLPL,110,C,2,01/07/2022 00:00:00, 	(03-MAR-2025 10:49:19)
TGBPL,111,C,1,29/04/2022 00:00:00, 	(03-MAR-2025 10:49:19)
