
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(12-MAR-2025 17:45:05)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
ESSARRM,117,C,1, 	(12-MAR-2025 17:45:07)
VISHPRI,118,C,1, 	(12-MAR-2025 17:45:07)
SOMANYL,119,C,1, 	(12-MAR-2025 17:45:07)
IDOINVA,120,C,1, 	(12-MAR-2025 17:45:07)
DCMSHRI,121,C,1, 	(12-MAR-2025 17:45:07)
GOLDPFG,122,C,1, 	(12-MAR-2025 17:45:07)
VIGASLD,123,C,1, 	(12-MAR-2025 17:45:07)
EFSPL,125,C,1, 	(12-MAR-2025 17:45:07)
VEDALTD,126,C,1, 	(12-MAR-2025 17:45:07)
VEDALTD,126,C,1, 	(12-MAR-2025 17:45:07)
GAILGAS,127,C,1, 	(12-MAR-2025 17:45:07)
GAILGAS,127,C,2, 	(12-MAR-2025 17:45:07)
RATNAGI,128,C,1, 	(12-MAR-2025 17:45:07)
RATNAGI,128,C,1, 	(12-MAR-2025 17:45:07)
BHOGATD,129,C,1, 	(12-MAR-2025 17:45:07)
BHOGATD,129,C,2, 	(12-MAR-2025 17:45:07)
KINGASP,130,C,2, 	(12-MAR-2025 17:45:07)
KINGASP,130,C,1, 	(12-MAR-2025 17:45:07)
SEMTEXP,131,C,1, 	(12-MAR-2025 17:45:07)
COMFIND,133,C,1, 	(12-MAR-2025 17:45:07)
SUMGLAS,134,C,1, 	(12-MAR-2025 17:45:07)
SVTPLIN,135,C,1, 	(12-MAR-2025 17:45:07)
BOROREN,136,C,1, 	(12-MAR-2025 17:45:07)
AVGL,137,C,1, 	(12-MAR-2025 17:45:07)
HPOIGAS,138,C,1, 	(12-MAR-2025 17:45:07)
SANENER,139,C,1, 	(12-MAR-2025 17:45:07)
NGPL,140,C,1, 	(12-MAR-2025 17:45:07)
ROCKIND,141,C,1, 	(12-MAR-2025 17:45:07)
KUTCHCL,143,C,1, 	(12-MAR-2025 17:45:07)
NESTLIN,144,C,1, 	(12-MAR-2025 17:45:07)
LANCOKO,146,C,1, 	(12-MAR-2025 17:45:07)
LANCOKO,146,C,1, 	(12-MAR-2025 17:45:07)
HINAGIL,147,C,1, 	(12-MAR-2025 17:45:07)
BHEL,148,C,1, 	(12-MAR-2025 17:45:07)
BHEL,148,C,2, 	(12-MAR-2025 17:45:07)
CRMNDEL,149,C,1, 	(12-MAR-2025 17:45:07)
CRMNDEL,149,C,1, 	(12-MAR-2025 17:45:07)
RIL-D6,7,T,2, 	(12-MAR-2025 17:45:07)
RIL-D6,7,T,2, 	(12-MAR-2025 17:45:07)
RIL-D6,7,T,1, 	(12-MAR-2025 17:45:07)
BP,8,T,1, 	(12-MAR-2025 17:45:07)
BP,8,T,1, 	(12-MAR-2025 17:45:07)
BP,8,T,1, 	(12-MAR-2025 17:45:07)
RIL-CBM,10,T,4, 	(12-MAR-2025 17:45:07)
RIL-CBM,10,T,5, 	(12-MAR-2025 17:45:07)
ONGC,12,T,1, 	(12-MAR-2025 17:45:07)
AMNS,13,T,1, 	(12-MAR-2025 17:45:07)
AMNS,13,T,1, 	(12-MAR-2025 17:45:07)
AMNS,13,T,1, 	(12-MAR-2025 17:45:07)
BPCL,14,T,1, 	(12-MAR-2025 17:45:07)
SEMTPL,16,T,4, 	(12-MAR-2025 17:45:07)
SEMTPL,16,T,1, 	(12-MAR-2025 17:45:07)
SEMTPL,16,T,2, 	(12-MAR-2025 17:45:07)
MGRPL,17,T,1, 	(12-MAR-2025 17:45:07)
MGRPL,17,T,1, 	(12-MAR-2025 17:45:07)
EFSPL,18,T,1, 	(12-MAR-2025 17:45:07)
EFSPL,18,T,2, 	(12-MAR-2025 17:45:07)
DIL,19,T,1, 	(12-MAR-2025 17:45:07)
CAIRENH,22,T,1, 	(12-MAR-2025 17:45:07)
VEDALTD,23,T,1, 	(12-MAR-2025 17:45:07)
ESSAREX,25,T,1, 	(12-MAR-2025 17:45:07)
IGSPL,26,T,2, 	(12-MAR-2025 17:45:07)
HOECLTD,31,T,1, 	(12-MAR-2025 17:45:07)
SANENER,32,T,1, 	(12-MAR-2025 17:45:07)

TOTAL DATA EXTRACTED :,300,,, 	(12-MAR-2025 17:45:07)
 
<<END>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(12-MAR-2025 17:45:07)
 
