
<<START>>,<<FMS_ENTITY_CONTACT_MST>>,, 	(18-FEB-2025 12:18:22)
 
ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TYPE,TIMESTAMP
RIL,1,C,34,31/01/2018 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,34,31/01/2018 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,34,01/04/2011 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,34,14/09/2008 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,34,01/04/2011 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,34,21/01/2018 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,35,14/09/2008 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,35,14/09/2008 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,18,14/09/2008 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,18,14/09/2008 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,37,01/01/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,37,01/01/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,38,01/09/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,38,01/09/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,39,01/09/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,39,01/09/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,40,26/09/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,40,26/09/2013 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,41,28/02/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,41,28/02/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,42,28/02/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,42,28/02/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,43,01/07/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,43,01/07/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,44,01/07/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,44,01/07/2017 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,45,31/01/2018 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,45,31/01/2018 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,68,01/06/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,68,01/06/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,69,01/06/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,69,01/06/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,70,01/07/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,70,01/07/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,71,01/07/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,71,01/07/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,72,01/07/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
RIL,1,C,72,01/07/2021 00:00:00,DLNG, 	(18-FEB-2025 12:18:25)
