

<<START>>,<<FMS_SUPPLY_CONT_MST>>,,, 	(12-SEP-2025 10:51:31)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
MGL,6,2,12,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,18,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,19,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,16,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,17,0,S, 	(12-SEP-2025 10:51:33)
MGL,0,2,4,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,1,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,2,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,3,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,6,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,7,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,8,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,9,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,10,0,X, 	(12-SEP-2025 10:51:33)
MGL,0,2,5,1,X, 	(12-SEP-2025 10:51:33)
GSPCL,2,0,2,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,1,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,2,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,3,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,4,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,5,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,6,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,7,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,8,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,9,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,10,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,11,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,12,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,17,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,15,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,16,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,18,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,34,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,35,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,37,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,38,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,40,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,42,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,43,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,18,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,25,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,30,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,41,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,11,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,11,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,11,3,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,75,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,76,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,2,0,1,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,14,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,19,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,20,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,22,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,23,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,24,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,26,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,27,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,28,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,29,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,31,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,32,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,49,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,50,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,51,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,52,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,53,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,54,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,55,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,56,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,57,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,58,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,59,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,60,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,61,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,62,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,63,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,64,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,65,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,66,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,67,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,68,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,69,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,71,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,73,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,74,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,21,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,78,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,70,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,84,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,88,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,67,3,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,67,4,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,77,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,81,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,84,1,S, 	(12-SEP-2025 10:51:33)
