
<<START>>,<<FMS_INVOICE_MST>>,,,, 	(13-MAY-2025 11:46:52)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
KRIBHCO,L,, 	(13-MAY-2025 11:46:55)
