
<<START>>,<<FMS_COUNTERPARTY_PLANT_TAX>>,,,, 	(21-FEB-2025 09:57:38)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_NM,TIMESTAMP
SEMTPL,34,C,6,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,9,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,9,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,10,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,2,TAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,3,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,7,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,8,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,1,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,3,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,7,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,7,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,T,4,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,T,2,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,T,3,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,T,1,PAN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
SGIPL,35,C,3,GSTIN, 	(21-FEB-2025 09:57:40)
SGIPL,35,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,5,PAN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,1,VAT TIN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,3,PAN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,5,GVAT TIN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,3,GVAT TIN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,1,PAN No., 	(21-FEB-2025 09:57:40)
SGIPL,35,C,3,GSTIN, 	(21-FEB-2025 09:57:40)
SGIPL,35,C,5,GSTIN, 	(21-FEB-2025 09:57:40)
SGIPL,35,C,5,GSTIN, 	(21-FEB-2025 09:57:40)
VGL,36,C,1,PAN No., 	(21-FEB-2025 09:57:40)
VGL,36,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
VGL,36,C,3,GVAT TIN No., 	(21-FEB-2025 09:57:40)
VGL,36,C,3,GSTIN, 	(21-FEB-2025 09:57:40)
VGL,36,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:40)
VGL,36,C,2,PAN No., 	(21-FEB-2025 09:57:40)
VGL,36,C,3,CST TIN No., 	(21-FEB-2025 09:57:40)
VGL,36,C,3,PAN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,3,PAN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,4,GVAT TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,2,PAN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,4,GSTIN, 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,4,CST TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,4,PAN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,1,PAN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,3,CST TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,3,GVAT TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:40)
PGPGPL,37,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
HCG,38,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
HCG,38,C,1,PAN No., 	(21-FEB-2025 09:57:40)
HCG,38,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
GGL,39,C,1,PAN No., 	(21-FEB-2025 09:57:40)
GGL,39,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
GGL,39,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
CFC,40,C,1,PAN No., 	(21-FEB-2025 09:57:40)
CFC,40,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
CFC,40,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
CFC,40,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
CFC,40,C,3,CST TIN No., 	(21-FEB-2025 09:57:40)
CFC,40,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
CFC,40,C,2,PAN No., 	(21-FEB-2025 09:57:40)
CFC,40,C,3,PAN No., 	(21-FEB-2025 09:57:40)
CFC,40,C,3,GSTIN, 	(21-FEB-2025 09:57:40)
IFFCO,41,C,1,PAN No., 	(21-FEB-2025 09:57:40)
IFFCO,41,C,3,PAN No., 	(21-FEB-2025 09:57:40)
IFFCO,41,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
IFFCO,41,C,3,GVAT TIN No., 	(21-FEB-2025 09:57:40)
IFFCO,41,C,2,PAN No., 	(21-FEB-2025 09:57:40)
IFFCO,41,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
IFFCO,41,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
IFFCO,41,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
IFFCO,41,C,3,GSTIN, 	(21-FEB-2025 09:57:40)
HGL-RLNG,42,C,1,GST TIN No., 	(21-FEB-2025 09:57:40)
HGL-RLNG,42,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
HGL-RLNG,42,C,1,PAN No., 	(21-FEB-2025 09:57:40)
HGL-RLNG,42,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,3,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,5,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,1,PAN No., 	(21-FEB-2025 09:57:40)
PipeInfra,43,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
