
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(28-APR-2025 13:49:32)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
11011,null,null,22/04/2013 00:00:00,Values matched with excel calculation., 	(28-APR-2025 13:49:36)
11012,null,null,03/06/2013 00:00:00,Roundedup value for refund is Rs. 594,667, Differential CD is [-0.47], 	(28-APR-2025 13:49:36)
11013,null,null,05/07/2013 00:00:00,Roundedup value for refund is Rs. 951064, Differential CD is [-0.96], 	(28-APR-2025 13:49:36)
11014,null,null,11/09/2013 00:00:00,Roundedup value for refund is Rs. 219931, Differential CD is [0.64], 	(28-APR-2025 13:49:36)
11015,null,null,18/10/2013 00:00:00,Rounded up to match the excel value., 	(28-APR-2025 13:49:36)
11016,null,null,02/12/2013 00:00:00,Roundedup to match with excel value, 	(28-APR-2025 13:49:36)
11006,null,null,20/06/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11006,null,null,20/06/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11006,null,null,29/06/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11006,null,null,20/06/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11006,null,null,29/06/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11008,null,null,10/02/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
11008,null,null,10/02/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
11009,null,null,25/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12, 	(28-APR-2025 13:49:36)
11009,null,null,25/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12, 	(28-APR-2025 13:49:36)
11010,null,null,13/08/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
11010,null,null,13/08/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
11008,null,null,10/02/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
11009,null,null,25/05/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
11010,null,null,13/08/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
11008,null,null,10/02/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
