

<<START>>,<<FMS_AGMT_MST>>,,, 	(28-APR-2025 11:36:28)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
GGL,39,F,1,0,Gail,2, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,4, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,5, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,6, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,7, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,8, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,9, 	(28-APR-2025 11:36:41)
HGL-RLNG,42,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
HGL-RLNG,42,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
HGL-RLNG,42,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
HGL-RLNG,42,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
HSIL,45,F,1,0,PipeInfra,1, 	(28-APR-2025 11:36:41)
HSIL,45,F,1,0,PipeInfra,1, 	(28-APR-2025 11:36:41)
