

<<START>>,<<FMS_AGMT_MST>>,,, 	(04-JUN-2025 15:52:01)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
DFPCL,10,F,2,0,Gail,4, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,5, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,6, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,7, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,8, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,9, 	(04-JUN-2025 15:52:03)
ESEZ,12,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
ESEZ,12,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
ESEZ,12,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
ESEZ,12,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
GGCL,19,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
GGCL,19,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
GGCL,19,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
GGCL,19,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
TPL,20,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
TPL,20,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
TPL,20,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
TPL,20,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,1, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,2, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,3, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,4, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,5, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,6, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,7, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,8, 	(04-JUN-2025 15:52:03)
IGL,23,F,2,0,Gail,9, 	(04-JUN-2025 15:52:03)
BPCL,24,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
BPCL,24,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
BPCL,24,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
BPCL,24,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
TEL,25,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
TEL,25,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
TEL,25,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
TEL,25,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,1, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,2, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,3, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,4, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,5, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,6, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,7, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,PipeInfra,8, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,1,GSPL,1, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,1,GSPL,2, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,1,GSPL,3, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,1,GSPL,4, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,2,GSPL,1, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,2,GSPL,2, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,2,GSPL,3, 	(04-JUN-2025 15:52:03)
HPCL,26,F,1,2,GSPL,4, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,GSPL,1, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,GSPL,2, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,GSPL,3, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,GSPL,4, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,1, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,2, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,3, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,4, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,5, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,6, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,7, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,8, 	(04-JUN-2025 15:52:03)
HPCL,26,F,2,0,Gail,9, 	(04-JUN-2025 15:52:03)
H-Energy,30,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
H-Energy,30,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
H-Energy,30,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
