

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(01-MAR-2025 15:51:57)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
BHOGATD , 256 , 1 , C ,  	(01-MAR-2025 15:51:59)
VEDALTD , 257 , 1 , C ,  	(01-MAR-2025 15:51:59)
VEDALTD , 257 , 2 , T ,  	(01-MAR-2025 15:51:59)
VIGASLD , 258 , 1 , C ,  	(01-MAR-2025 15:51:59)
GOLDPFG , 259 , 1 , C ,  	(01-MAR-2025 15:51:59)
CAIRENH , 261 , 1 , T ,  	(01-MAR-2025 15:51:59)
GSIGLIM , 263 , 1 , R ,  	(01-MAR-2025 15:51:59)
GAILGAS , 265 , 1 , C ,  	(01-MAR-2025 15:51:59)
KUTCHCL , 267 , 1 , C ,  	(01-MAR-2025 15:51:59)
SEMTEXP , 269 , 1 , C ,  	(01-MAR-2025 15:51:59)
SEMTEXP , 269 , 2 , T ,  	(01-MAR-2025 15:51:59)
SANENER , 273 , 1 , C ,  	(01-MAR-2025 15:51:59)
SANENER , 273 , 2 , T ,  	(01-MAR-2025 15:51:59)
SUMGLAS , 274 , 1 , C ,  	(01-MAR-2025 15:51:59)
SVTPLIN , 275 , 1 , C ,  	(01-MAR-2025 15:51:59)
SPSSETL1 , 276 , 1 , T ,  	(01-MAR-2025 15:51:59)
SIETCO , 279 , 1 , T ,  	(01-MAR-2025 15:51:59)
AVGL , 282 , 1 , C ,  	(01-MAR-2025 15:51:59)
NGPL , 284 , 1 , C ,  	(01-MAR-2025 15:51:59)
SILS , 285 , 1 , T ,  	(01-MAR-2025 15:51:59)
STASCO , 286 , 1 , C ,  	(01-MAR-2025 15:51:59)
STASCO , 286 , 2 , T ,  	(01-MAR-2025 15:51:59)
ROCKIND , 287 , 1 , C ,  	(01-MAR-2025 15:51:59)
LANCOKO , 290 , 1 , C ,  	(01-MAR-2025 15:51:59)
CRMNDEL , 291 , 1 , C ,  	(01-MAR-2025 15:51:59)
SEIPLDY , 296 , 1 , C ,  	(01-MAR-2025 15:51:59)
GSINLIM , 298 , 1 , R ,  	(01-MAR-2025 15:51:59)
GSINLIM , 298 , 1 , H ,  	(01-MAR-2025 15:51:59)
GSINLIM , 298 , 1 , H ,  	(01-MAR-2025 15:51:59)
GSINLIM , 298 , 1 , H ,  	(01-MAR-2025 15:51:59)
GSINLIM , 298 , 1 , H ,  	(01-MAR-2025 15:51:59)
GSINLIM , 298 , 1 , V ,  	(01-MAR-2025 15:51:59)
SGSINDIA , 298 , 1 , S ,  	(01-MAR-2025 15:51:59)
SGSINDIA , 298 , 1 , S ,  	(01-MAR-2025 15:51:59)
SGSINDIA , 298 , 1 , S ,  	(01-MAR-2025 15:51:59)

TOTAL DATA EXTRACTED :,195 , , , 	(01-MAR-2025 15:52:00)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(01-MAR-2025 15:52:00)
 
<<START>>,<<FMS_SECTOR_MST>>, 	(01-MAR-2025 15:52:00)
 
SECTOR_CD,SECTOR_ABBR,TIMESTAMP
000,RESELLERS, 	(01-MAR-2025 15:52:00)
730,ElLECTRICAL/ ELECTRONICS, 	(01-MAR-2025 15:52:00)
740,HEAVY MACHINES, 	(01-MAR-2025 15:52:00)
742,LIGHT MACHINES, 	(01-MAR-2025 15:52:00)
743,AIRCRAFTS, 	(01-MAR-2025 15:52:00)
744,SHIPBUILD. & REPAIRS, 	(01-MAR-2025 15:52:00)
745,TRUCKS&PASS VEHICALS, 	(01-MAR-2025 15:52:00)
746,SCOOTERS ETC, 	(01-MAR-2025 15:52:00)
747,HIGH PRESSURE VESSEL, 	(01-MAR-2025 15:52:00)
749,MECH. MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
751,STRUCTURAL WORKS, 	(01-MAR-2025 15:52:00)
752,IRON & STEEL PLANTS, 	(01-MAR-2025 15:52:00)
754,IRON & STEEL REWORKS, 	(01-MAR-2025 15:52:00)
755,ALUMINIUM, 	(01-MAR-2025 15:52:00)
756,FOUNDRIES/CASTINGS, 	(01-MAR-2025 15:52:00)
757,FERROUS ALLOYS, 	(01-MAR-2025 15:52:00)
759,METAL. MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
770,CANDLE INDUSTRY, 	(01-MAR-2025 15:52:00)
771,MATCHES, 	(01-MAR-2025 15:52:00)
772,RUBBER TYRES & TUBES, 	(01-MAR-2025 15:52:00)
773,PAPER PRODUCTS, 	(01-MAR-2025 15:52:00)
774,INDU ABRASIVES, 	(01-MAR-2025 15:52:00)
776,GLASS/CERAMICS ETC, 	(01-MAR-2025 15:52:00)
778,PACKING MATERIALS, 	(01-MAR-2025 15:52:00)
780,PLASTIC INDUSTRIES, 	(01-MAR-2025 15:52:00)
782,LEATHER, 	(01-MAR-2025 15:52:00)
783,PROCESSOR, 	(01-MAR-2025 15:52:00)
784,TOBACCO PRODUCTS, 	(01-MAR-2025 15:52:00)
789,INDUS. MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
760,COTTON MILLS HOSIERY, 	(01-MAR-2025 15:52:00)
761,JUTE MILLS, 	(01-MAR-2025 15:52:00)
762,SYN.FIBRE/RAYON MF, 	(01-MAR-2025 15:52:00)
769,TEXTI. MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
600,PET.EXPLO&PROD, 	(01-MAR-2025 15:52:00)
601,IRON ORE, 	(01-MAR-2025 15:52:00)
603,COAL, 	(01-MAR-2025 15:52:00)
604,BAUXITE, 	(01-MAR-2025 15:52:00)
605,MANGANESE, 	(01-MAR-2025 15:52:00)
606,STONE QUARRYING, 	(01-MAR-2025 15:52:00)
609,MINING MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
800,POST & TELEGRAPHS, 	(01-MAR-2025 15:52:00)
801,STATE ELEC. BOARDS, 	(01-MAR-2025 15:52:00)
802,CATERING & HOTELS, 	(01-MAR-2025 15:52:00)
804,UNIVERSITIES ETC, 	(01-MAR-2025 15:52:00)
806,LAUNDRIES, 	(01-MAR-2025 15:52:00)
809,REFINERIES, 	(01-MAR-2025 15:52:00)
500,TPP-OIL, 	(01-MAR-2025 15:52:00)
504,HYDEL POWER PLANTS, 	(01-MAR-2025 15:52:00)
506,ATOMIC POWER PLANTS, 	(01-MAR-2025 15:52:00)
507,GAS TURBINES, 	(01-MAR-2025 15:52:00)
509,POWER MISCELLANEOUS, 	(01-MAR-2025 15:52:00)
300,RAILWAYS, 	(01-MAR-2025 15:52:00)
007,OTHER ROAD TRANSPORT, 	(01-MAR-2025 15:52:00)
006,STATE ROAD TRANSPORT, 	(01-MAR-2025 15:52:00)
220,SHIP. COASTAL, 	(01-MAR-2025 15:52:00)
222,SHIP. INTERNATIONAL, 	(01-MAR-2025 15:52:00)
224,INLAND WATERWAYS, 	(01-MAR-2025 15:52:00)
